name,price,original_price,discount,model,brand,availability,rating,review_count,image_url,product_url,specifications,category,subcategory,description
Intel 13th Gen Core i5 13400 Budget Desktop PC with Monitor,"58,999৳60,600৳","60,600৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-13th-gen-core-i5-13400-budget-desktop-pc-with-monitor-228x228.webp,https://www.startech.com.bd/intel-13th-gen-core-i5-13400-budget-desktop-pc-with-monitor,{},Desktop,Star PC,
AMD Ryzen 5 3400G Processor Desktop PC,"21,999৳23,950৳","23,950৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38903-02-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-3400g-processor-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 5600G Custom Desktop PC,"29,500৳31,700৳","31,700৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/43762-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-custom-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 5600GT Budget Desktop PC,"28,704৳31,200৳","31,200৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38204-002-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600gt-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 5500 Gaming PC,"44,252৳48,100৳","48,100৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/40261-02-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5500-gaming-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 7600 Desktop PC,"50,600৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-38905-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-7600-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 7 7700 Budget Gaming Desktop PC,"52,780৳56,149৳","56,149৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-7700-budget-gaming-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-7700-budget-gaming-pc,{},Desktop,Gaming PC,
AMD Ryzen 7 8700G Budget Desktop PC,"60,019৳63,850৳","63,850৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-8700g-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-8700g-budget-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 9600X Gaming Desktop PC,"63,000৳67,100৳","67,100৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-9600x-gaming-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-9600x-gaming-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 7500F Gaming PC,"77,499৳81,899৳","81,899৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-7500f-gaming-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-7500f-gaming-pc,{},Desktop,Gaming PC,
Intel 13th Gen Core i5 13400F Gaming Desktop PC,"79,999৳84,500৳","84,500৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-13th-gen-core-i5-13400f-desktop-pc-001-228x228.webp,https://www.startech.com.bd/intel-13th-gen-core-i5-13400f-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 7500F Gaming Desktop PC,"86,999৳91,800৳","91,800৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-7500f-gaming-desktop-pc-003-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-7500f-gaming-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 8400F Gaming Desktop PC,"88,999৳94,700৳","94,700৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8400f-gaming-desktop-pc-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-8400f-gaming-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 5 7500F Budget Gaming PC,"90,499৳95,950৳","95,950৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-7500f-budget-gaming-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-7500f-budget-gaming-pc,{},Desktop,Gaming PC,
Intel Core Ultra 5 245K Desktop PC,"94,499৳99,850৳","99,850৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-ultra-5-245k-desktop-pc-001-228x228.webp,https://www.startech.com.bd/intel-core-ultra-5-245k-desktop-pc,{},Desktop,Gaming PC,
Intel Core Ultra 5 245K Gaming Desktop PC,"109,999৳117,599৳","117,599৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-ultra-5-245k-gaming-desktop-pc-005-228x228.webp,https://www.startech.com.bd/intel-core-ultra-5-245k-gaming-desktop-pc,{},Desktop,Gaming PC,
Intel Core i5 14400 14th Gen Gaming Desktop PC,"131,999৳135,950৳","135,950৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i5-14400-14th-gen-gaming-desktop-pc-228x228.webp,https://www.startech.com.bd/intel-core-i5-14400-14th-gen-gaming-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 7 9700X Gaming Desktop PC,"134,499৳141,100৳","141,100৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/37268-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-9700x-gaming-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 7 7700X Gaming Desktop PC,"149,999৳155,900৳","155,900৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-7700x-gaming-desktop-pc-005-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-7700x-gaming-desktop-pc,{},Desktop,Gaming PC,
