chunk_id,strategy,text,length,start_index,end_index
86,sentence,"Subcategory: Brand PC. Price: 95,000৳.

Product: Dell OptiPlex 7020 Core i7 12th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 93,000৳.
",156,11084,11240
87,sentence,"Subcategory: Brand PC. Price: 93,000৳.

Product: Dell Inspiron 5430 Intel Core 5 120U 23.8"" FHD All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: 92,000৳.
",171,11201,11372
88,sentence,"Subcategory: All-in-One PC. Price: 92,000৳.

Product: Dell Inspiron 5430 Intel Core 7 150U 23.8"" FHD All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: 118,000৳.
",177,11328,11505
89,sentence,"Subcategory: All-in-One PC. Price: 118,000৳.

Product: Dell OptiPlex 7420 Core i5 14th Gen 23.8"" FHD Touch All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: Out Of Stock.
",187,11460,11647
90,sentence,"Price: Out Of Stock.

Product: Dell OptiPlex 7420 Core i7 14th Gen 23.8"" FHD Touch All-in-One PC. Category: Dell. Subcategory: All-in-One PC. Price: Out Of Stock.
",163,11626,11789
91,sentence,"Price: Out Of Stock.

Product: Lenovo IdeaCentre AIO 24IRH9 Core i5 13th Gen 23.8"" FHD All-in-One Desktop PC. Category: LENOVO. Subcategory: All-in-One PC. Price: 89,500৳.
",172,11768,11940
92,sentence,"Subcategory: All-in-One PC. Price: 89,500৳.

Product: AOC B911 Intel Celeron N95 23.8"" Full HD All in One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 50,300৳.
",173,11896,12069
93,sentence,"Subcategory: Desktop. Price: 50,300৳.

Product: AOC A33 Core i5 7th Gen 23.8"" FHD All in One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 55,200৳.
",160,12031,12191
94,sentence,"Subcategory: Desktop. Price: 55,200৳.

Product: AOC B911 Core i5 8th Gen 23.8"" Full HD All in One PC With WebCam. Category: All-in-One PC. Subcategory: Desktop. Price: 58,800৳.
",177,12153,12330
95,sentence,"Subcategory: Desktop. Price: 58,800৳.

Product: AOC B911 Core i5 8th Gen 27"" Full HD All in One PC With WebCam & Battery. Category: All-in-One PC. Subcategory: Desktop. Price: 61,500৳.
",185,12292,12477
