chunk_id,strategy,text,length,start_index,end_index
207,token,". Price: 76,000৳.

Product: DELL OptiPlex 7010 Cor",50,8280,8330
208,token,x 7010 Core i3 13th Gen 8GB RAM Desktop PC. Catego,50,8320,8370
209,token,PC. Category: Brand PC. Subcategory: Desktop. Pric,50,8360,8410
210,token,"ktop. Price: 57,500৳.

Product: Dell OptiPlex 7020",50,8400,8450
211,token,iPlex 7020 Core i3 12th Gen Tower Brand PC. Catego,50,8440,8490
212,token,PC. Category: Brand PC. Subcategory: Desktop. Pric,50,8480,8530
213,token,"ktop. Price: 55,000৳.

Product: Dell OptiPlex 7020",50,8520,8570
214,token,iPlex 7020 Core i3 14th Gen Tower Brand PC. Catego,50,8560,8610
215,token,PC. Category: Brand PC. Subcategory: Desktop. Pric,50,8600,8650
216,token,"ktop. Price: 63,000৳.

Product: HP 280 Pro G9 MT C",50,8640,8690
217,token,ro G9 MT Core i3 14th Gen Brand PC. Category: Bran,50,8680,8730
218,token,"gory: Brand PC. Subcategory: Desktop. Price: 60,00",50,8720,8770
219,token,"ice: 60,000৳.

Product: Dell OptiPlex 7010 Core i5",50,8760,8810
220,token,10 Core i5 12th Gen Tower Desktop PC. Category: Br,50,8800,8850
221,token,"tegory: Brand PC. Subcategory: Desktop. Price: 64,",50,8840,8890
222,token,"Price: 64,500৳.

Product: HP 280 Pro G9 MT Core i5",50,8880,8930
223,token,MT Core i5 14th Gen Brand PC. Category: HP. Subcat,50,8920,8970
224,token,"HP. Subcategory: Brand PC. Price: 72,500৳.

Produc",50,8960,9010
225,token,"৳.

Product: HP Pro Tower 400 G9 Core i7 12th Gen ",50,9000,9050
226,token, 12th Gen Desktop PC with Windows 11 Pro. Category,50,9040,9090
227,token,". Category: HP. Subcategory: Brand PC. Price: 95,0",50,9080,9130
228,token,"rice: 95,000৳.

Product: HP Pro Tower 290 G9 Core ",50,9120,9170
229,token,0 G9 Core i3 12th Gen Brand PC. Category: HP. Subc,50,9160,9210
230,token,": HP. Subcategory: Brand PC. Price: 49,000৳.

Prod",50,9200,9250
231,token,"00৳.

Product: HP Pro Tower 290 G9 Core i5 12th Ge",50,9240,9290
232,token,i5 12th Gen Brand PC (Upgraded). Category: HP. Sub,50,9280,9330
233,token,"y: HP. Subcategory: Brand PC. Price: 58,000৳.

Pro",50,9320,9370
234,token,"000৳.

Product: HP Pro Tower 290 G9 Core i7 12th G",50,9360,9410
235,token, i7 12th Gen Brand PC (Upgraded). Category: HP. Su,50,9400,9450
236,token,"ry: HP. Subcategory: Brand PC. Price: 76,000৳.

Pr",50,9440,9490
237,token,",000৳.

Product: HP Pro Tower 400 G9 Core i5 13th ",50,9480,9530
